index,label,err_transformer,err_conv_ae,anom_transformer,anom_conv_ae,transformer_only,conv_only
0,1,0.00045296166,0.0035606928,1,1,0,0
1,1,3.7585214e-05,0.0003435697,0,0,0,0
2,1,0.000901392,0.00507087,1,1,0,0
3,1,2.622688e-05,0.00019604868,0,0,0,0
4,1,3.5732046e-05,0.00022156839,0,0,0,0
5,1,4.6802306e-05,0.00049081095,0,0,0,0
6,1,0.00028743388,0.005035495,1,1,0,0
7,1,1.3572682e-05,8.8987814e-05,0,0,0,0
8,1,4.221445e-05,0.00045788698,0,0,0,0
9,1,4.3836003e-06,0.00020270525,0,0,0,0
10,1,4.968716e-06,5.5546414e-05,0,0,0,0
11,1,2.0528794e-05,9.504756e-05,0,0,0,0
12,1,1.602104e-05,7.134465e-05,0,0,0,0
13,1,1.09280945e-05,6.2446845e-05,0,0,0,0
14,1,8.834899e-05,0.00034170452,0,0,0,0
15,1,2.7929063e-05,0.00014014749,0,0,0,0
16,1,2.4479465e-05,0.00035826012,0,0,0,0
17,1,3.8343773e-05,0.00050560205,0,0,0,0
18,1,3.672936e-05,0.00029477244,0,0,0,0
19,1,0.00030613368,0.007919626,1,1,0,0
20,1,0.000104847284,0.0008297942,0,0,0,0
21,1,8.3198414e-05,0.00027736134,0,0,0,0
22,1,6.2859267e-06,0.00012110605,0,0,0,0
23,1,0.00036611655,0.0031181443,1,1,0,0
24,1,4.4085653e-05,0.000330032,0,0,0,0
25,1,0.001336344,0.009217944,1,1,0,0
26,1,2.2898746e-05,0.00011897525,0,0,0,0
27,1,3.6132853e-06,5.6966346e-05,0,0,0,0
28,1,0.00023485819,0.0013886846,1,1,0,0
29,1,4.8308693e-06,0.000120206394,0,0,0,0
30,1,1.2215912e-05,0.0009513526,0,0,0,0
31,1,0.00014321101,0.005747371,0,1,0,1
32,1,0.00020229227,0.0012654645,1,1,0,0
33,1,3.811093e-05,0.00027018494,0,0,0,0
34,1,6.4816275e-05,0.00020378805,0,0,0,0
35,1,4.6889534e-05,0.00016738576,0,0,0,0
36,1,4.5926678e-05,0.0004107733,0,0,0,0
37,1,0.00038456716,0.0031462503,1,1,0,0
38,1,4.920459e-05,0.00036940488,0,0,0,0
39,1,9.891613e-05,0.00068071444,0,0,0,0
40,1,0.00062097254,0.004365968,1,1,0,0
41,1,0.00095133536,0.0047817896,1,1,0,0
42,1,5.3623622e-05,0.00051648484,0,0,0,0
43,1,0.0003300398,0.0019352785,1,1,0,0
44,1,0.0015604757,0.0043675965,1,1,0,0
45,1,0.00051969185,0.0039870143,1,1,0,0
46,1,0.00037631174,0.0024659487,1,1,0,0
47,1,0.0011820155,0.00692083,1,1,0,0
48,1,3.0006671e-05,0.0006167722,0,0,0,0
49,1,3.3664943e-05,0.0003557648,0,0,0,0
50,1,0.00013986569,0.0009458143,0,0,0,0
51,1,8.355149e-06,0.00021727858,0,0,0,0
52,1,5.542739e-05,0.0005231487,0,0,0,0
53,1,0.0010152893,0.0063425605,1,1,0,0
54,1,0.000117680436,0.00044040103,0,0,0,0
55,1,1.9206958e-05,0.00012289791,0,0,0,0
56,1,6.928e-06,0.00021891233,0,0,0,0
57,1,3.460943e-05,0.0003191983,0,0,0,0
58,1,9.536415e-05,0.0012447865,0,1,0,1
59,1,3.0318937e-05,0.0002866147,0,0,0,0
60,1,4.342413e-05,0.00051247235,0,0,0,0
61,1,8.267546e-05,0.00078000146,0,0,0,0
62,1,1.4732054e-05,0.000120367935,0,0,0,0
63,1,3.1546675e-05,0.0004990449,0,0,0,0
64,1,8.4929634e-05,0.0007924618,0,0,0,0
65,1,0.0003813103,0.0031229537,1,1,0,0
66,1,0.00014666707,0.00084920676,0,0,0,0
67,1,2.5281932e-05,0.00022783039,0,0,0,0
68,1,0.00045456906,0.0035330218,1,1,0,0
69,1,5.6899e-05,0.00024991776,0,0,0,0
70,1,0.0005717112,0.006171572,1,1,0,0
71,1,3.0791634e-05,0.00012608405,0,0,0,0
72,1,2.5320938e-05,0.00017605533,0,0,0,0
73,1,1.9552817e-05,0.00021609278,0,0,0,0
