patch_idx,ra,dec,anomaly_score,is_top1pct
16870,97.02569460405266,42.96336453993925,0.8539314270019531,1
2313,279.9599526960106,13.248737569285382,0.8506882190704346,1
11241,347.3228186661749,7.3685697445188225,0.8494986295700073,1
4819,332.5654408012664,-38.23883722751052,0.8477163314819336,1
4814,262.24653188651814,25.33815231789191,0.8363063335418701,1
12054,328.6396886715867,0.056017155878961944,0.8321934342384338,1
7519,308.16078843349527,65.45936437569404,0.8286417126655579,1
6003,181.6557359296221,-24.843264978163987,0.8278850317001343,1
331,157.96501378291595,-47.05583775963423,0.826723575592041,1
11836,239.05760857351717,-39.26299023243153,0.8262722492218018,1
8762,134.08859560843015,17.657752291665588,0.8252432346343994,1
4809,260.2384589632423,21.57978532208452,0.8249161243438721,1
11617,170.4630926590423,-0.15204579062606172,0.8246358633041382,1
19790,3.485934486984923,38.39257091982428,0.8186917304992676,1
14747,249.8836485890289,-16.564466555673746,0.8185840845108032,1
5100,264.3023000443018,-45.97026305570506,0.8180490732192993,1
2625,323.98841909158807,59.9572173469457,0.8153492212295532,1
1552,276.8678854536645,20.90299213973472,0.8131881952285767,1
13353,206.71436901679508,-24.249823538479518,0.8123983144760132,1
15318,256.1112655610546,-31.239482609010075,0.8121968507766724,1
1395,107.41468253338067,-43.82400719265905,0.8115962743759155,1
18879,51.527326704890854,-58.74784967897834,0.8105395436286926,1
1966,143.4879873732837,7.261415890427514,0.8103339672088623,1
7338,187.5170910655516,-66.9063799807747,0.8087817430496216,1
1335,147.24110198435213,-64.55682666036965,0.8083611726760864,1
15139,293.68246570896736,11.810791127683132,0.8078598976135254,1
12476,179.26401955643004,64.65819658545897,0.807270884513855,1
9387,312.68730394492144,-25.97221073224371,0.8072526454925537,1
15131,212.7816427994863,14.289429095901127,0.8049541711807251,1
16498,230.79998912390755,68.44179487327912,0.8031810522079468,1
3356,185.4512346093001,-61.53682487406374,0.8011760711669922,1
1970,137.85314339488724,-21.699079241773653,0.8009098768234253,1
12812,31.224325447730003,66.00110405761839,0.7996923327445984,1
17359,45.71174559185012,-43.26439821183918,0.7996517419815063,1
503,231.61260486415355,59.382245265042826,0.799526572227478,1
13752,31.001945256471714,-33.97876953380157,0.7994763255119324,1
5123,168.4871292161618,-6.150486567382572,0.7987427115440369,1
3439,94.55506170192467,-25.37941215063514,0.7983281016349792,1
7388,192.14155435405846,66.18281395754238,0.7980273365974426,1
16730,27.9119609797883,56.98837932961693,0.7974568605422974,1
1182,209.8547639577209,44.86424172030128,0.7971904277801514,1
3659,303.5151721574162,32.961214491306265,0.7966790199279785,1
16627,81.47313570513558,-33.27766294232332,0.7965428233146667,1
887,174.251562961642,-66.99481899902231,0.7950570583343506,1
8993,344.55817300094634,-38.35780662117609,0.7948901057243347,1
5754,188.1649116572485,57.70859441771681,0.7946053147315979,1
19283,36.74737135818865,1.5479206987239138,0.794025182723999,1
11175,342.8036831995078,-38.125291648589396,0.7939341068267822,1
4087,155.4462346785262,-21.18395986829642,0.7936031818389893,1
17561,250.60682531942072,21.290843036041394,0.7933523654937744,1
5995,163.08108465351143,-38.574438074398145,0.7932907342910767,1
18915,104.67426968527488,-17.648624616362966,0.7932487726211548,1
6002,352.77795720130104,63.55642311670431,0.7919977307319641,1
1026,236.5509239273991,-50.44845637040804,0.7917847633361816,1
15939,54.82992575807268,9.308098376524057,0.79169100522995,1
2628,240.52378297208566,-46.87857941243925,0.791191816329956,1
6275,150.0313480533545,-41.69346800867778,0.7910982966423035,1
3805,133.883674240215,-59.8035104382426,0.7907547950744629,1
19250,16.908339488403644,68.52244767803734,0.7902830839157104,1
4610,219.3667933150616,-55.14755780860979,0.7901253700256348,1
2111,221.1452934532377,-54.78225743058074,0.7896715402603149,1
2987,31.388930816646994,-68.50236347851126,0.7892720699310303,1
13901,57.363050377926484,38.70461622870458,0.789146900177002,1
1857,96.23900192792809,14.15595463922817,0.7889998555183411,1
3533,287.9187152902762,-69.59152277573511,0.7887720465660095,1
12894,33.546945763781196,-25.955766657122275,0.7887341976165771,1
1126,246.47473679745724,-24.026769099737237,0.7887108325958252,1
5195,331.69533315809264,-7.353180951237164,0.7885741591453552,1
19208,190.99522131651045,10.935846519710424,0.7884529829025269,1
17985,43.6009098568528,55.53903699930014,0.7882834672927856,1
1302,19.694067764111004,-15.642227733038297,0.7879679203033447,1
2375,194.4376087437277,59.99135678495415,0.7878795862197876,1
6278,347.0877036545654,-25.35703559203492,0.787877082824707,1
2045,150.9232432410457,67.66804367277828,0.7878093719482422,1
746,238.43355557198672,15.613218159201338,0.787549614906311,1
11304,9.524365090564624,17.09032565205078,0.7873433828353882,1
5325,246.04028344098987,47.06978455330186,0.7869619131088257,1
9088,129.75166377784055,48.603148570009495,0.7869129180908203,1
13438,18.55768177391547,-6.6902374882866695,0.7868539094924927,1
13528,3.7979033349329505,10.364651950365172,0.7867982983589172,1
18011,320.4192255449873,-16.501425320910272,0.7867164611816406,1
5650,5.029067233490587,65.66243460633274,0.7863371968269348,1
10119,121.66625545689826,-10.640004874902793,0.7858125567436218,1
13909,198.48281925870177,-53.090727644658365,0.785413384437561,1
2864,150.11442856253763,-45.82494387626454,0.7854098081588745,1
17946,105.15625120688546,4.531750141776357,0.7852253913879395,1
9080,358.9758570663164,-54.362831645518526,0.7852097153663635,1
4854,38.808490071499705,-28.318854132307393,0.7849452495574951,1
10162,86.54453656183742,38.01534157507835,0.7841987609863281,1
7561,178.25239292718993,-31.994318690500116,0.7840402126312256,1
6070,201.12848742524184,-11.335946438677269,0.7824437618255615,1
8356,113.18153602401296,36.76176479449833,0.7824364900588989,1
6649,218.31186633591602,-33.3312037960861,0.7822525501251221,1
8603,268.6843331222707,-35.442947304531536,0.7821604013442993,1
17423,147.82451657675773,-10.517565764708102,0.7819477319717407,1
3759,44.157115112762554,33.25928648562484,0.781495213508606,1
8709,178.11976154262007,-24.460518513015337,0.781435489654541,1
17118,257.50729398351973,27.41400532450254,0.781089186668396,1
17926,62.77044668579654,16.362779834204844,0.7810421586036682,1
8538,319.72202409966064,-9.863445552987912,0.7801914215087891,1
9208,316.2679069448927,-7.488474115897844,0.779721200466156,1
10341,161.51314202615706,-58.2402115606116,0.7796928286552429,1
12046,63.4660435780956,35.646296181335245,0.7794862985610962,1
16767,270.1788969290868,-30.826258374670488,0.7792917490005493,1
7560,292.23044465332356,-14.723828614178643,0.7792059183120728,1
