log_M_seed_mean,log_M_seed_sigma,f_edd_mean,sigma_int
2.86493511409896,1.3416816352915462,0.619824239136489,2.448720586883763
2.9746364123477536,1.133474485218105,0.6033820154575027,2.4771934089025733
2.9065919690272537,1.0410217445365357,0.6170502779786008,2.3492234641193064
2.8559249160318494,0.30706888998663595,0.6142272418169138,2.467680954492302
2.7980258390777766,1.5458357756990728,0.6168909491105724,2.255272783915453
2.992511445892591,0.9655446694265285,0.6157298137620493,2.424670277600826
2.841726706245281,1.4980950705059193,0.6377873334876537,2.3853049718042425
2.7450094663707856,1.1203431468073917,0.6361207095512109,2.5494862253093604
2.9727905644400963,1.2008950156710874,0.5964285088546082,2.355370434475736
2.9764614930524487,1.0589377110238654,0.5996842148811373,2.386058220643856
2.539806812055647,1.2194316702204682,0.655554935020289,2.3683656398418966
2.8713884763945514,1.3092717144167125,0.6289389175228068,2.353229567899057
2.7364473995184326,1.233409546522076,0.636549377165987,2.2763260011804416
2.5682291159903543,1.4945242206558857,0.6367441291398344,2.3483785191155415
2.7205213124940477,1.0976557594887189,0.6478595012776492,2.444409943513656
2.700558979272571,1.066940127598393,0.6141958882685807,2.244097994104141
2.9858679838654703,1.374204145012387,0.6064904650425441,2.2657829832689718
2.8579434859030197,1.1208391259272963,0.6085604927409503,2.262289363060608
2.6090740571042343,1.0205357073474028,0.6405181811390265,2.483440407250321
2.9128324020196095,0.5925622479114383,0.6335352686382745,2.528151099965888
2.9399224644278656,1.189168475276046,0.6129973702069456,2.410350742252315
2.942051258619249,1.0342394196140385,0.6061173827203455,2.409907428583661
2.8173009716209907,1.3670631147368897,0.6198628430729275,2.3190040469599835
2.9873623897812154,1.5407040649685544,0.6035021999310936,2.2444996732628444
2.8267221801534577,1.3805924200752688,0.6101845384262382,2.276698471439654
2.7354855414813746,1.1662463997369008,0.6138889768332157,2.3443481322294155
2.9363618482747507,1.0141864607863935,0.6017920705355102,2.362300121947494
2.7923433838144347,0.9481318354432723,0.6274204521249481,2.4317644717434135
2.9572958660724744,0.7209093055254643,0.5995099804498008,2.464406801832075
2.954213641587665,0.9036675455633509,0.6084466007152237,2.446601608909123
2.952650642047413,1.3628504458019122,0.6047578742124298,2.245917243773398
2.9735465790290228,0.6425684499668711,0.5984781106709595,2.4879790515036704
2.8196927319450973,1.2652324884246378,0.6286072088352171,2.4473701358014424
2.9746364123477536,1.133474485218105,0.6033820154575027,2.4771934089025733
2.9163264322220046,1.0542480677673622,0.6150948912937377,2.3675308916877777
2.8559249160318494,0.30706888998663595,0.6142272418169138,2.467680954492302
2.812872699610263,1.422557813588622,0.6190434035030198,2.290561587943087
2.992511445892591,0.9655446694265285,0.6157298137620493,2.424670277600826
2.8469646478859993,1.5534514305811256,0.63996964324843,2.3705507698382244
2.70842168157624,1.1380107037030214,0.6395858463033862,2.5171922911735543
2.958457657664538,1.1988022854966687,0.597483097824849,2.3547047021259577
2.9764614930524487,1.0589377110238654,0.5996842148811373,2.386058220643856
2.539806812055647,1.2194316702204682,0.655554935020289,2.3683656398418966
2.7848281742982834,1.5549155999349695,0.6383787786547669,2.3021745992223104
2.7364473995184326,1.233409546522076,0.636549377165987,2.2763260011804416
2.582638867400603,1.4752110546680712,0.635905433352171,2.348414502520192
2.806016261689824,1.2396068891774568,0.633647576848172,2.380359391130322
2.700558979272571,1.066940127598393,0.6141958882685807,2.244097994104141
2.9895896972759983,1.2936593275431643,0.6073204827987352,2.273656261516704
2.8579434859030197,1.1208391259272963,0.6085604927409503,2.262289363060608
2.692736898836268,1.2531246568736165,0.6300566689314339,2.3824138302047957
2.9128324020196095,0.5925622479114383,0.6335352686382745,2.528151099965888
2.9399224644278656,1.189168475276046,0.6129973702069456,2.410350742252315
2.942051258619249,1.0342394196140385,0.6061173827203455,2.409907428583661
2.8315488627041177,1.4036919193878319,0.6205544721363099,2.328146029729746
2.978829222648617,1.5265360617626416,0.6049206781870999,2.2508924961554655
2.839699575505787,1.3320460893620132,0.6100076332082743,2.2939929644334485
2.7354855414813746,1.1662463997369008,0.6138889768332157,2.3443481322294155
2.9363618482747507,1.0141864607863935,0.6017920705355102,2.362300121947494
2.773574928399822,0.906810374794651,0.6294502898266198,2.4478617336174184
2.9617522822569833,0.6007970911584672,0.5960503573299283,2.4782726125529577
2.976310132177196,0.81871163561927,0.6045419204687458,2.4654422456620186
2.9565873424509164,1.4471160869325324,0.6054746541468187,2.217789653120378
2.9735465790290228,0.6425684499668711,0.5984781106709595,2.4879790515036704
2.757891820172966,1.3177855497065067,0.6386685417422439,2.4354748105781776
2.977529278862628,1.1279190719466834,0.6075655292067677,2.421804509489458
2.935135664499601,1.055517178654495,0.6143818893029062,2.364539816429416
2.8559249160318494,0.30706888998663595,0.6142272418169138,2.467680954492302
2.748087142525924,1.3819671299006377,0.6245565861751435,2.306047476436285
2.980878489506951,1.121487302915313,0.6124089842046618,2.357678117712344
2.8588095129310194,1.4682158374774732,0.6360870859240684,2.3815390849653193
2.729431864385749,1.1431189375929827,0.6360480096442149,2.503538680186946
2.8789265099653236,1.1384357223051442,0.606713443203332,2.3697296300866673
2.9830570444826314,1.2643661369669834,0.6013136221078218,2.344709655251959
2.458186257437065,1.1748429070351474,0.6653624476132368,2.3978538108387397
2.7905749258548607,1.5207978536253786,0.6360351070321106,2.2990396807221223
2.7364473995184326,1.233409546522076,0.636549377165987,2.2763260011804416
2.565386676593936,1.51424095859291,0.6358886767394893,2.3301831701896387
2.814993820117687,1.2362253146234052,0.6322631119549981,2.382370120293891
2.732699875960558,1.1737454833936924,0.619854081724574,2.2718585694921734
2.9895896972759983,1.2936593275431643,0.6073204827987352,2.273656261516704
2.8579434859030197,1.1208391259272963,0.6085604927409503,2.262289363060608
2.6245938463189273,1.157019312573047,0.636303578842058,2.4345139712780632
2.8796294640579467,0.6865074557569701,0.6309777547098298,2.500066929974072
2.9399224644278656,1.189168475276046,0.6129973702069456,2.410350742252315
2.9452734387921753,1.023568515452661,0.605456207354274,2.4121153396435457
2.825111290437114,1.4101948909397986,0.6200336149624717,2.315190876205936
2.978829222648617,1.5265360617626416,0.6049206781870999,2.2508924961554655
2.8551640850082958,1.3347418270719196,0.604589725204676,2.26724797741802
2.7535412647171964,1.0432645026066432,0.6212655922982135,2.3934172585402878
2.9363618482747507,1.0141864607863935,0.6017920705355102,2.362300121947494
2.8718901189776402,0.7768969839897489,0.6142229529180229,2.4675852381294217
2.9617522822569833,0.6007970911584672,0.5960503573299283,2.4782726125529577
2.976349807709646,0.8816809956612476,0.6032685923689179,2.4446336750498108
2.899619438366801,1.4100357866048134,0.6149916587729715,2.2802020669907015
2.9735465790290228,0.6425684499668711,0.5984781106709595,2.4879790515036704
2.757891820172966,1.3177855497065067,0.6386685417422439,2.4354748105781776
2.9683513331373055,1.1286447844657908,0.6086750428794901,2.4202953923566555
