index,label,plate_id,spec_type,err_sdss_native,err_desi_transfer,anom_sdss,anom_desi,sdss_only,desi_only
0,1,4,galaxy,0.003095577,0.0052878237,0,0,0,0
1,1,38,star,0.0036632486,0.0039346763,0,0,0,0
2,1,32,galaxy,0.0026063705,0.004581078,0,0,0,0
3,1,21,qso,0.0010335934,0.0017578237,0,0,0,0
4,1,21,galaxy,0.002947301,0.005620212,0,0,0,0
5,1,42,star,0.0056101847,0.007083377,0,1,0,1
6,1,4,galaxy,0.0026085747,0.003419708,0,0,0,0
7,1,34,qso,0.0003073936,0.0028714468,0,0,0,0
8,1,10,galaxy,0.00033678583,0.0029346435,0,0,0,0
9,1,4,galaxy,0.001663456,0.0024988572,0,0,0,0
10,1,26,galaxy,0.0006959116,0.001192893,0,0,0,0
11,1,48,star,0.00034644868,0.0011896827,0,0,0,0
12,1,36,galaxy,0.0011333404,0.00328426,0,0,0,0
13,1,38,galaxy,0.0007947766,0.0014742113,0,0,0,0
14,1,35,galaxy,0.0023323188,0.00392464,0,0,0,0
15,1,39,galaxy,0.0007789172,0.004032022,0,0,0,0
16,1,25,star,0.0018090863,0.0064528007,0,0,0,0
17,1,6,qso,0.00024766513,0.0022494304,0,0,0,0
18,1,41,qso,0.0011363139,0.0027294431,0,0,0,0
19,1,22,qso,0.0018201635,0.0028013326,0,0,0,0
20,1,25,galaxy,0.0006334658,0.0013253944,0,0,0,0
21,1,18,star,0.0021176573,0.00470136,0,0,0,0
22,1,9,galaxy,0.0011661543,0.0012006062,0,0,0,0
23,1,46,galaxy,0.0013131849,0.0038941854,0,0,0,0
24,1,39,galaxy,0.00033951004,0.0014979589,0,0,0,0
25,1,32,star,0.00588106,0.006264458,0,0,0,0
26,1,20,galaxy,0.0011271012,0.0024059755,0,0,0,0
27,1,41,star,0.0026531536,0.0027346942,0,0,0,0
28,1,27,star,0.0014558826,0.0035032968,0,0,0,0
29,1,22,qso,0.004272473,0.0067559276,0,1,0,1
30,1,22,galaxy,0.00084342057,0.0026055428,0,0,0,0
31,1,11,qso,0.0009841314,0.002556448,0,0,0,0
32,1,4,qso,0.0014778227,0.003178232,0,0,0,0
33,1,27,star,0.00026830786,0.0009992362,0,0,0,0
34,1,44,galaxy,0.0001831765,0.0017865753,0,0,0,0
35,1,3,galaxy,0.00031710506,0.00087058527,0,0,0,0
36,1,42,qso,0.0017313574,0.0033316214,0,0,0,0
37,1,41,galaxy,0.0002923573,0.0024676314,0,0,0,0
38,1,13,galaxy,0.002000285,0.00239826,0,0,0,0
39,1,31,qso,0.00019470563,0.0017557804,0,0,0,0
40,1,8,galaxy,0.0009901504,0.0018037411,0,0,0,0
41,1,37,qso,0.0024540888,0.0030182677,0,0,0,0
42,1,35,galaxy,0.0012821131,0.0021173563,0,0,0,0
43,1,17,galaxy,0.00045168283,0.0017230505,0,0,0,0
44,1,3,galaxy,0.0004352141,0.0014192899,0,0,0,0
45,1,48,star,0.007811932,0.008398742,1,1,0,0
