epoch,train_loss,val_loss,train_acc,val_acc,lr
1.000000000000000000e+00,1.219859260632144338e+00,1.032708666436917389e+00,3.234425396405804509e-01,3.975407009229047217e-01,2.999259840548597193e-04
2.000000000000000000e+00,1.149674491070594717e+00,9.403244727111214063e-01,3.608816662466203251e-01,4.396607675634491286e-01,2.997040092642407169e-04
3.000000000000000000e+00,1.079898120187068544e+00,9.315611651478615807e-01,4.049064010584838003e-01,4.707238508835758783e-01,2.993342946904619783e-04
4.000000000000000000e+00,1.013584711188442178e+00,8.040753943003112747e-01,4.182088198990206451e-01,4.968232684959084655e-01,2.988172051971716954e-04
5.000000000000000000e+00,9.672920027528908449e-01,7.525845597511915397e-01,4.691890613119573672e-01,5.711382370571386202e-01,2.981532510892706349e-04
6.000000000000000000e+00,8.735027630658618314e-01,7.435787893956469219e-01,4.874710676426226574e-01,5.572581441014228254e-01,2.973430876093033186e-04
7.000000000000000000e+00,8.486115784597049183e-01,6.823810439968445163e-01,5.083917133866846516e-01,5.704403299586615628e-01,2.963875142908120922e-04
8.000000000000000000e+00,8.282011184894013667e-01,5.844691351435281623e-01,5.258010677225306573e-01,6.404403980392243678e-01,2.952874741692946290e-04
9.000000000000000000e+00,7.666364530383903420e-01,5.723873692476368902e-01,5.657294862299480087e-01,6.195978183882292489e-01,2.940440528515414270e-04
1.000000000000000000e+01,6.968750750967689367e-01,5.651978833685626924e-01,5.889502155456780574e-01,6.351669999612293838e-01,2.926584774442730300e-04
1.100000000000000000e+01,7.112614587630444740e-01,4.574251727026350522e-01,5.827364203678110366e-01,6.533890551215920661e-01,2.911321153431337973e-04
1.200000000000000000e+01,6.336119128022771330e-01,4.115678968677310423e-01,6.169572662538531649e-01,6.881874573691085795e-01,2.894664728832376638e-04
1.300000000000000000e+01,6.048380596162620249e-01,4.213842101773872528e-01,6.235879910156204575e-01,7.142562181432148272e-01,2.876631938525971285e-04
1.400000000000000000e+01,5.883401307825210091e-01,5.136907627738808158e-01,6.532482060321156414e-01,7.155197470374579094e-01,2.857240578699029383e-04
1.500000000000000000e+01,5.406594433784821518e-01,4.216298999483525933e-01,6.587968301806003124e-01,7.319701033712410210e-01,2.836509786282551300e-04
1.600000000000000000e+01,5.170403991418437428e-01,4.105519009125243590e-01,6.692120389143676462e-01,7.271187813982472603e-01,2.814460020065795019e-04
1.700000000000000000e+01,4.750238654080972678e-01,3.648330744078235321e-01,6.899162904557454290e-01,7.459375275374111602e-01,2.791113040505915259e-04
1.800000000000000000e+01,4.830604691265503736e-01,3.795262825377379023e-01,6.997073764108261429e-01,7.733297773457460389e-01,2.766491888253022505e-04
1.900000000000000000e+01,4.505289069339271646e-01,3.379447943633642204e-01,7.027061631496972494e-01,7.821528804759985132e-01,2.740620861411842391e-04
2.000000000000000000e+01,4.570311798034217277e-01,3.379222145377537845e-01,7.414388008226133753e-01,8.063107593835922016e-01,2.713525491562421136e-04
2.100000000000000000e+01,4.110200038406202072e-01,3.343621160157620453e-01,7.394043490298535248e-01,8.070601593956995279e-01,2.685232518563534848e-04
2.200000000000000000e+01,4.193444547068299610e-01,2.949878465209734846e-01,7.544141598770996993e-01,8.047092815403604771e-01,2.655769864163683527e-04
2.300000000000000000e+01,3.984387311595882220e-01,3.221178403891855613e-01,7.545868395711968768e-01,8.016305897037074857e-01,2.625166604445688988e-04
2.400000000000000000e+01,3.710453525748648174e-01,3.183673337083153254e-01,7.754192886219065661e-01,8.214960225637523150e-01,2.593452941132117222e-04
