objid,ra,dec,label,gz_cw_frac,gz_ccw_frac,split
syn_cw_000000,134.8344427850505,54.08571676918994,cw,0.9097990912717108,0.05986584841970366,test
syn_cw_000001,56.16671055927715,-41.28065755965568,cw,0.80871254182523,0.08661761457749352,val
syn_cw_000002,216.40140422755516,24.96870933552546,cw,0.8030876741443704,0.09699098521619944,val
syn_cw_000003,299.6793506881518,-34.51930671860686,cw,0.8272737450810651,0.01834045098534338,train
syn_cw_000004,109.52720746543358,2.9707717958685436,cw,0.8647917527963174,0.029122914019804193,train
syn_cw_000005,220.2670421000566,-43.26073672175498,cw,0.8438216972802828,0.03663618432936917,train
syn_cw_000006,164.18519431813294,34.22111536716163,cw,0.829951067323754,0.05142344384136116,train
syn_cw_000007,213.26924479033528,-54.425950473600274,cw,0.8911317277852158,0.017052412368729154,test
syn_cw_000008,23.418573474700626,53.86626447039998,cw,0.944844804961184,0.08083973481164612,train
syn_cw_000009,109.66095690241345,-48.27934631923394,cw,0.9026349539768236,0.04401524937396013,val
syn_cw_000010,43.93376454412038,-0.5787707866475813,cw,0.8051582781672828,0.0909320402078782,train
syn_cw_000011,93.1607933760061,19.502674122477842,cw,0.8467566614134117,0.05200680211778108,test
syn_cw_000012,196.81570056358066,-37.817465336936756,cw,0.9454376941646838,0.07751328233611146,train
syn_cw_000013,338.2196189631081,47.37928205131786,cw,0.8896849968216628,0.09218742350231168,train
syn_cw_000014,31.85730073869102,-36.48205650970257,cw,0.8067840933365807,0.032533033076326434,train
syn_cw_000015,139.92382428821352,-27.438116187132493,cw,0.9243106263727894,0.035675332669358926,train
syn_cw_000016,101.13642348745708,5.123529978989822,cw,0.8211386337462144,0.08021969807540397,train
syn_cw_000017,26.838231724717495,58.42643239206208,cw,0.9158367153944986,0.019871568153417243,train
syn_cw_000018,1.9879621644968637,37.855371414580105,cw,0.9060286015771426,0.07290071680409874,test
syn_cw_000019,277.6573248069405,-51.11464179190916,cw,0.853769859281641,0.011586905952512973,test
syn_cw_000020,310.71723331521366,14.795775219306947,cw,0.8496347037278974,0.006355835028602364,val
syn_cw_000021,111.9536358176384,-20.978001356790358,cw,0.9094409267507096,0.06375574713552132,train
syn_cw_000022,319.39658732747756,-3.334208980566082,cw,0.8179391368907453,0.07132447872229951,train
syn_cw_000023,273.88261750208306,7.353263708339554,cw,0.9156450769931842,0.04937955963643908,train
syn_cw_000024,188.18381857751785,-8.695077796974047,cw,0.8038128690116143,0.010789142699330446,train
syn_cw_000025,11.31450684722433,16.36924935165365,cw,0.847153397161449,0.05085706911647028,val
syn_cw_000026,326.72393061339346,-30.084932502135008,cw,0.8615574384553445,0.07555511385430487,train
syn_cw_000027,82.36733957698408,-50.762410820544844,cw,0.8434627179370653,0.016122128725400444,train
syn_cw_000028,334.69115484332633,36.97444554773003,cw,0.8950105634765636,0.08714605901877177,train
syn_cw_000029,289.32194768368123,-37.611592933675695,cw,0.9338838497734967,0.05393422419156507,train
syn_cw_000030,290.6784558590625,47.530955990819194,cw,0.8477005212457797,0.011005192452767676,train
syn_cw_000031,82.056658515099,-8.747065364849242,cw,0.922702214888374,0.08607305832563435,train
syn_cw_000032,2.502766991228653,1.289676309307886,cw,0.8626116504723169,0.022210781047073025,train
syn_cw_000033,43.15153224012581,-19.486179431564643,cw,0.9414364555868779,0.03232029320207552,train
syn_cw_000034,186.76462382761179,24.362275067421336,cw,0.8545444403568941,0.09717820827209607,test
syn_cw_000035,346.48102617916004,-29.7861245009563,cw,0.8745872758838579,0.03008783098167697,val
syn_cw_000036,102.54257797588834,-55.57356631745606,cw,0.8914346500969845,0.05026790232288615,train
syn_cw_000037,18.532350449996166,-26.562424291606625,cw,0.936239882894998,0.023956189066697244,train
syn_cw_000038,52.16215395284031,-1.2656687666924356,cw,0.9478475681165901,0.02420552715115004,test
syn_cw_000039,241.96879706611628,31.39435383944611,cw,0.83564563159886,0.07282163486118597,train
syn_cw_000040,132.40192777893117,15.876699671229531,cw,0.8950294566141342,0.05357746840747585,train
syn_cw_000041,32.50431721958699,40.23629947070856,cw,0.8481170097457604,0.018651851039985425,train
syn_cw_000042,14.67905095971501,10.907153182589013,cw,0.9016346542763424,0.0016587828927856153,val
syn_cw_000043,184.35350098774114,-32.820506976247444,cw,0.8967759185614175,0.017436642900499146,train
syn_cw_000044,248.73758571688774,-13.591758443935511,cw,0.9405094983105102,0.013752094414599327,train
syn_cw_000045,122.78388637809306,-46.38317745112931,cw,0.9387040427417844,0.0877339353380981,train
syn_cw_000046,92.85898597745602,19.198085524101486,cw,0.9225833300301824,0.055520081159946236,train
syn_cw_000047,190.67420820816233,-30.9777250919458,cw,0.8139654151708849,0.08972157579533269,train
syn_cw_000048,324.150500578799,15.972174872792152,cw,0.8508544686573052,0.03492095746126609,val
syn_cw_000049,261.3440443932862,47.65323119430926,cw,0.9330629636397676,0.0779875545857624,val
syn_cw_000050,231.1313926155436,-49.90320420059414,cw,0.824244307114192,0.08985541885270792,val
syn_cw_000051,218.31446147745237,-58.89635380600444,cw,0.8152207314299048,0.06635017691080558,train
syn_cw_000052,1.8221701846387273,-40.703033829900164,cw,0.8823100684049879,0.06918951976926933,test
syn_cw_000053,234.7060534209362,-33.08768286473283,cw,0.9068268832021305,0.02372490874968001,train
syn_cw_000054,117.14389133733638,29.578968614162903,cw,0.8974449348570822,0.0849223410494178,train
syn_cw_000055,236.74064122812362,8.197032400256589,cw,0.8140512151742139,0.03677158030594335,train
syn_cw_000056,95.47285236542116,-30.72124279450997,cw,0.9459515832128669,0.039309772466676045,train
syn_cw_000057,321.1367598637608,15.736635119671547,cw,0.9192216955312473,0.05026370931051921,train
syn_cw_000058,207.68539846548927,-0.8978767417363329,cw,0.8292864481697068,0.07224521152615053,test
syn_cw_000059,101.0780504787081,-57.08208402822554,cw,0.8968208443860752,0.017711067940704896,val
syn_cw_000060,338.56509036704915,54.471429240310485,cw,0.9372296585330673,0.03701587002554444,train
syn_cw_000061,5.564381950392274,51.39822751052705,cw,0.8642276222475972,0.09666548190436697,train
